Type,Produit,Date de début,Date de fin,Description,Montant,Frais,Devise,État,Solde
Changes,Valeur actuelle,2025-01-30 09:25:51,2025-01-30 09:25:51,Change en CHF,1200.00,0.00,CHF,TERMINÉ,1200.80
Changes,Valeur actuelle,2025-01-31 22:09:30,2025-01-31 22:09:30,Change en CHF,1.40,0.00,CHF,TERMINÉ,1202.20
Virement,Valeur actuelle,2025-01-31 22:11:26,2025-02-03 01:28:08,Virement SWIFT à : Marie Baudois,-1200.00,1.44,CHF,TERMINÉ,0.76
Virement,Valeur actuelle,2025-02-26 08:05:44,2025-02-26 08:05:44,Retrait depuis une Pocket,1201.00,0.00,CHF,TERMINÉ,1201.76
Virement,Valeur actuelle,2025-02-26 08:06:46,2025-02-26 08:37:27,Virement SWIFT à : Marie Baudois,-1200.00,1.44,CHF,TERMINÉ,0.32
Changes,Valeur actuelle,2025-03-23 19:19:13,2025-03-23 19:19:13,Change en CHF,20.00,0.00,CHF,TERMINÉ,20.32
Paiement par carte,Valeur actuelle,2025-03-23 19:19:25,2025-03-24 05:04:48,SBB CFF FFS,-19.00,0.00,CHF,TERMINÉ,1.32
Changes,Valeur actuelle,2025-03-26 22:25:11,2025-03-26 22:25:11,Change en CHF,1200.00,0.00,CHF,TERMINÉ,1201.32
Changes,Valeur actuelle,2025-03-27 13:18:58,2025-03-27 13:18:58,Change en CHF,2.00,0.00,CHF,TERMINÉ,1203.32
Virement,Valeur actuelle,2025-03-27 13:20:32,2025-03-27 13:51:03,Virement SWIFT à : Marie Baudois,-1200.00,1.44,CHF,TERMINÉ,1.88
Changes,Valeur actuelle,2025-04-23 14:28:48,2025-04-23 14:28:48,Change en CHF,190.00,0.00,CHF,TERMINÉ,191.88
Paiement par carte,Valeur actuelle,2025-04-23 14:31:07,2025-04-24 17:26:30,SBB CFF FFS,-190.00,0.00,CHF,TERMINÉ,1.88
Virement,Valeur actuelle,2025-04-26 12:30:56,2025-04-26 12:30:56,Retrait depuis une Pocket,25.00,0.00,CHF,TERMINÉ,26.88
Changes,Valeur actuelle,2025-04-26 12:31:32,2025-04-26 12:31:32,Change en CHF,85.00,0.00,CHF,TERMINÉ,111.88
